ShopID,AccountName,BillingCity,BillingZip,Website,HasWebsite,DirectOrdering,Note
55087.0,Mamma Lisa's Pizzeria - 55087,Somerville,2145,http://www.mammalisaspizza.com/,True,True,
nan,Mariano's Ristorante,Pepperell,1463,,False,False,No website
52146.0,Mark & Toni's Coal Fired Pizza - 52146,Belmont,2478,https://markandtonis.com/,True,True,
50929.0,Mark's Pizza & Subs - 50929,Wellesley Hills,2481,http://www.markspizzaandsubs.com/,True,True,
8798.0,Marlboro House of Pizza - 8798,Marlborough,1752,https://marlborohouseofpizza.com/,True,True,
57438.0,Master Pies Pizza - 57438,Arlington,2476,,False,False,Place not found
nan,Max & Leos Artisan Pizza,Sudbury,1776,http://www.maxandleospizza.com/sudbury,True,True,
17485.0,Max And Leo's Artisan Pizza - 17485,Newton,2458,https://www.maxandleospizza.com/newton,True,True,
111197.0,Maynard Pizza & Bar - 111197,Maynard,1754,http://www.maynardpizzabar.com/,True,True,
53369.0,Maynard Village Pizza - 53369,Maynard,1754,https://www.maynardvillagepizza.biz/,True,True,
nan,Michael's Pizza,Belmont,2478,https://michaelspizzabelmont.com/,True,True,
107631.0,Mike's Pizza - 107631,Westminster,1473,http://mikespizzawestminster.com/,True,True,
4563.0,Milano Pizza - 4563,Brighton,2135,https://www.milanobrighton.com/?utm_source=gbp,True,True,
11294.0,Mingaliens Trattoria - 11294,Natick,1760,http://www.mingalienstrattoria.com/?utm_source=gbp,True,True,
55183.0,Momo Bistro & Brick Oven Pizza - 55183,Fitchburg,1420,https://www.momobistrobrickovenpizzamenu.com/?utm_source=gbp,True,True,
19949.0,Mortadella Head - 19949,Somerville,2144,http://mortadellahead.com/,True,True,
37815.0,Mr Z's Pizza - 37815,Clinton,1510,http://mrzpizza.com/,True,True,
104018.0,Mr. Roni Cups - 104018,Chestnut Hill,2467,https://www.mrronicups.com/,True,True,
16913.0,My Brother's Place - 16913,Arlington,2474,http://mybrothersplacearlington.com/,True,True,
nan,Nani's Pizza,Clinton,1510,https://www.ninaspizzaclinton.com/,True,True,
19931.0,Nashoba Club - 19931,Ayer,1432,http://www.nashobaclubpizza.com/,True,True,
nan,Nashoba Pizza,Westford,1886,http://www.nashobapizzaseafood.com/,True,True,
nan,Needham House Of Pizza,Needham,2492,http://www.needhamhouseofpizza.com/,True,True,
nan,New London Style Pizza-Concord,Concord,1742,http://www.newlondonstylepizza.com/,True,True,
4571.0,New York Fried Chicken & Pizza - 4571,Brighton,2135,,False,False,No website
nan,New York Pizza Central Square,Cambridge,2139,https://newyorkpizzaboston.com/,True,True,
8883.0,New York Taco & Pizza - 8883,Waltham,2452,https://www.newyorktacopizza.com/,True,True,
53830.0,Newton Center Town Pizza - 53830,Newton Centre,2459,,False,False,No website
100224.0,Newton Corner House of Pizza - 100224,Watertown,2472,https://www.newtoncornerhouseofpizza.com/?utm_source=gbp,True,True,
17385.0,Newtonville Pizza - 17385,Newton,2460,https://newtonvillepizza.com/,True,True,
15911.0,Nicholas' Pizzeria - 15911,Needham,2492,https://www.nicholaspizzeria.com/,True,True,
nan,Nick's Deli & Pizza,Marlborough,1752,http://www.nicksroastbeefdeli.com/,True,True,
49801.0,Nick's House of Pizza - 49801,Medford,2155,https://www.nickspizzaofmedford.com/,True,True,
17020.0,Nick's Pizza & Grill - 17020,Ashland,1721,https://www.nickspizzagril.com/,True,True,
17217.0,Nick's Pizza House - 17217,Natick,1760,https://www.nickspizzahousemenu.com/,True,True,
9158.0,Nick's Place - 9158,Lexington,2420,https://nicksplacelexington.com/,True,True,
47089.0,Nick's Place 2 - 47089,Belmont,2478,http://nickplace2belmont.com/,True,True,
